id,count,area,floor_area
1,1099,323874300,0
2,0,0,0
3,383,5087000,0
5,1855,4092400,0
6,1286,1792700,0
7,0,0,0
8,526,2879700,0
9,7465,19994300,0
10,907,1943300,0
11,6511,5430400,0
12,7325,30923000,0
13,4634,13537000,0
14,746,127600,0
15,0,0,0
16,0,44500,0
17,50,89700,0
18,104206,29743900,0
19,134702,64186600,0
20,7718,5681200,0
21,5798,4200300,0
22,11250,2910700,0
23,1961,768100,0
24,614,687400,0
25,2063,2289300,0
26,3318,5802000,0
27,3736,5004900,0
28,7699,4817600,0
29,5203,8866200,0
30,88,142500,0
32,44,25700,0
33,51308,10460200,0
34,54,265800,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,8847,1682100,0
40,126987,82626500,0
41,7059,19598600,0
43,5921,11565700,0
44,21407,9048900,0
45,302268,99704500,0
46,0,0,0
47,0,0,0
48,0,0,0
49,18743,28619800,0
50,107,9526400,0
51,3500,1004800,0
52,0,0,0
53,0,0,0
54,426322,89343000,0
55,1036,849300,0
56,0,0,0
57,203465,64722600,0
58,43525,39447700,0
59,2096,707100,0
60,1802,1575500,0
61,303,15389900,0
62,0,0,0
63,16,8600,0
64,255,300900,0
65,9,29000,0
66,0,0,0
67,138,127700,0
68,103,97000,0
69,1,0,0
70,30,100,0
71,0,0,0
72,39,71100,0
73,0,0,0
74,1238,1001500,0
75,713,163200,0
76,0,0,0
77,209,156200,0
78,2170,5820800,0
79,0,0,0
80,0,0,0
82,1255,432300,0
85,0,0,0
86,0,0,0
87,200,109700,0
88,62,41100,0
89,0,0,0
90,70666,31478000,0
91,50,356600,0
92,292,126200,0
93,3251,3582900,0
94,9002,3437200,0
95,1914,3332300,0
96,100,331692000,0
97,1305,9848800,0
98,1799,8709000,0
