id,count,area,floor_area
1,0,184517000,184517900
2,0,0,0
3,0,5082800,5082800
5,0,4096000,4096000
6,0,1796100,1796100
7,0,0,0
8,0,2898900,2898900
9,0,19551700,19551700
10,0,1945300,1945300
11,0,5432200,5432200
12,0,31078700,31078700
13,0,13572300,13572300
14,0,128900,128900
15,0,0,0
16,0,44500,44500
17,0,89800,104800
18,0,29733900,56456700
19,0,64329700,271221700
20,0,5583900,8916600
21,0,4143500,25550000
22,0,2822800,8080000
23,0,755400,2197100
24,0,335800,2563100
25,0,2278500,13999300
26,0,5771700,23053000
27,0,4991400,9343800
28,0,4836800,11849400
29,0,8845900,16541300
30,0,142400,1215800
32,0,26700,31700
33,0,10309600,13401000
34,0,265800,1162500
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,1625000,1625000
40,0,82537000,82537000
41,0,19583000,19583000
43,0,11464400,11464400
44,0,8970800,8970800
45,0,120909600,120909600
46,0,0,0
47,0,0,0
48,0,0,0
49,0,28355500,28355500
50,0,9523000,9523000
51,0,999500,3433000
52,0,0,0
53,0,0,0
54,0,88128800,88128800
55,0,842500,842500
56,0,0,0
57,0,53751800,53751800
58,0,39404600,39404600
59,0,681900,681900
60,0,1566700,1566700
61,0,15389300,15389300
62,0,0,0
63,0,8500,10800
64,0,300800,867800
65,0,29100,58900
66,0,0,0
67,0,127800,456600
68,0,97000,473700
69,0,100,100
70,0,3000,3000
71,0,0,0
72,0,71200,360200
73,0,0,0
74,0,1001700,2795700
75,0,162100,175700
76,0,0,0
77,0,156200,156200
78,0,5790700,5790700
79,0,0,0
80,0,0,0
82,0,425800,910300
84,0,0,0
85,0,0,0
87,0,109700,109700
88,0,41100,41100
89,0,0,0
90,0,23333100,23333100
91,0,356600,907300
92,0,129200,146800
93,0,3657000,10481500
94,0,4052800,39943200
95,0,3412700,55024500
96,0,117518300,117518300
97,0,9851500,9851500
98,0,8707600,8707600
